"Reference"," Value"," Footprint"," Datasheet"
"U2","FT2232HL","Housings_QFP:LQFP-64_10x10mm_Pitch0.5mm","https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT2232H.pdf"
"R6","10","Resistors_SMD:R_0603_HandSoldering","~"
"Y1","12MHz","SamacSys_Parts:ABM712000MHZD2YT","~"
"C13","18pF","Capacitors_SMD:C_0603_HandSoldering","~"
"C14","18pF","Capacitors_SMD:C_0603_HandSoldering","~"
"R17","2.2K","Resistors_SMD:R_0603_HandSoldering","~"
"R14","10K","Resistors_SMD:R_0603_HandSoldering","~"
"R7","10","Resistors_SMD:R_0603_HandSoldering","~"
"D2","PGB1010603","hermeslite:SMD-0603","~"
"D3","PGB1010603","hermeslite:SMD-0603","~"
"J3","2x20","rb-kicad:PINHEAD_2X20_BSILK","~"
"R8","12K 1%","Resistors_SMD:R_0603_HandSoldering","~"
"R9","27","Resistors_SMD:R_0603_HandSoldering","~"
"R16","4.7K","Resistors_SMD:R_0603_HandSoldering","~"
"R15","4.7K","Resistors_SMD:R_0603_HandSoldering","~"
"U4","LD1117S33TR","rb-kicad:V-REG_SOT223","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf"
"C22","4.7uF","SamacSys_Parts:CAPPM3216X180N","~"
"C23","100nF","Capacitors_SMD:C_0603_HandSoldering","~"
"C25","100nF","Capacitors_SMD:C_0603_HandSoldering","~"
"C24","4.7uF","SamacSys_Parts:CAPPM3216X180N","~"
"FB3","600R","hermeslite:SMD-0603","~"
"FB2","600R","hermeslite:SMD-0603","~"
"FB1","600R/0.5A","hermeslite:SMD-0603","~"
"C12","100nF","Capacitors_SMD:C_0603_HandSoldering","~"
"C26","4.7uF","SamacSys_Parts:CAPPM3216X180N","~"
"C27","100nF","Capacitors_SMD:C_0603_HandSoldering","~"
"C28","4.7uF","SamacSys_Parts:CAPPM3216X180N","~"
"C29","100nF","Capacitors_SMD:C_0603_HandSoldering","~"
"C11","3.3uF","SamacSys_Parts:CAPPM3216X180N","~"
"C10","100nF","Capacitors_SMD:C_0603_HandSoldering","~"
"C9","4.7uF","SamacSys_Parts:CAPPM3216X180N","~"
"C19","100nF","Capacitors_SMD:C_0603_HandSoldering","~"
"C20","100nF","Capacitors_SMD:C_0603_HandSoldering","~"
"C21","10nF","Capacitors_SMD:C_0603_HandSoldering","~"
"C15","100nF","Capacitors_SMD:C_0603_HandSoldering","~"
"C16","10nF","Capacitors_SMD:C_0603_HandSoldering","~"
"C17","1nF","Capacitors_SMD:C_0603_HandSoldering","~"
"C18","100nF","Capacitors_SMD:C_0603_HandSoldering","~"
"U1","LD1117S33TR","rb-kicad:V-REG_SOT223","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf"
"C5","4.7uF","SamacSys_Parts:CAPPM3216X180N","~"
"C8","100nF","Capacitors_SMD:C_0603_HandSoldering","~"
"C7","4.7uF","SamacSys_Parts:CAPPM3216X180N","~"
"J1","Power Barrel","hermeslite:PWRBARREL","~"
"D1","SMBJ18CA","hermeslite:smbj18ca","~"
"F1","2A@5V","hermeslite:FUSE","~"
"Q1","IRLMR6402","hermeslite:SOT23_3","~"
"C3","10nF","Capacitors_SMD:C_0603_HandSoldering","~"
"C2","100nF","Capacitors_SMD:C_0603_HandSoldering","~"
"C1","4.7uF","SamacSys_Parts:CAPPM3216X180N","~"
"C6","100nF","Capacitors_SMD:C_0603_HandSoldering","~"
"J4","MH1","hermeslite:m3",
"J5","MH2","hermeslite:m3",
"J6","MH3","hermeslite:m3",
"J7","MH4","hermeslite:m3",
"U3","93LC56B","TO_SOT_Packages_SMD:SOT-23-6_Handsoldering","http://ww1.microchip.com/downloads/en/DeviceDoc/20001749K.pdf"
"R13","10K","Resistors_SMD:R_0603_HandSoldering","~"
"R12","10K","Resistors_SMD:R_0603_HandSoldering","~"
"J2","TYPE-C-31-M-12","USB-C-Power-tester:TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"R4","5.1K","Resistors_SMD:R_0603_HandSoldering","~"
"R5","5.1K","Resistors_SMD:R_0603_HandSoldering","~"
"R11","1M","Resistors_SMD:R_0603_HandSoldering","~"
"R2","100K","Resistors_SMD:R_0603_HandSoldering","~"
"C4","100nF","Capacitors_SMD:C_0603_HandSoldering","~"
"R10","10K","Resistors_SMD:R_0603_HandSoldering","~"
"Q3","BC847","hermeslite:SOT23_3","~"
"R3","4.7K","Resistors_SMD:R_0603_HandSoldering","~"
"R1","10K","Resistors_SMD:R_0603_HandSoldering","~"
"Q2","BSS138","hermeslite:SOT23_3","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF"
"D5","LED","hermeslite:LEDn",
"D4","LED","hermeslite:LEDn",
"R18","1K","Resistors_SMD:R_0603_HandSoldering","~"
"R19","1K","Resistors_SMD:R_0603_HandSoldering","~"
